unique_id,soil_ph,soil_organic_carbon_gkg,soil_nitrogen_gkg,soil_clay_pct,soil_sand_pct,soil_cec_cmolkg,soil_bulk_density_gcm3
02e978a6,5.6,15.444646771097048,1.2704998375324057,39.0,35.0,12.463738035001692,1.28
02eafec4,5.5,10.0231763806416,0.9738777322304476,37.0,34.0,7.166169912567652,1.34
0300f958,5.5,13.879731724872835,1.2933187402641826,42.0,34.0,10.0231763806416,1.23
0309a040,5.5,13.879731724872835,1.4351296512898744,44.0,40.0,11.182493960703471,1.27
030adc92,5.7,10.0231763806416,0.9542373206359396,36.0,49.0,10.0231763806416,1.34
034874a2,5.4,15.444646771097048,1.4108997064172095,49.0,33.0,8.974182454814718,1.17
0373c504,5.4,10.0231763806416,1.0750806076741224,36.0,41.0,8.025013499434122,1.3
03b4e256,5.6,13.879731724872835,1.181472265498201,41.0,31.0,8.974182454814718,1.29
03cdd2f7,5.4,19.085536923187668,2.1267683651861558,48.0,28.0,12.463738035001692,1.12
03ee4527,5.7,15.444646771097048,1.585709659315846,43.0,35.0,10.0231763806416,1.19
041c1edc,5.9,13.879731724872835,1.2704998375324057,32.0,42.0,11.182493960703471,1.32
041ca983,5.3,12.463738035001692,1.3163669767810915,41.0,31.0,8.974182454814718,1.25
042a7341,5.7,15.444646771097048,1.2704998375324057,44.0,35.0,11.182493960703471,1.2
042a8ab6,5.9,13.879731724872835,1.2933187402641826,37.0,44.0,11.182493960703471,1.3
042c923f,5.7,15.444646771097048,1.4843225333848165,41.0,32.0,12.463738035001692,1.24
0443cb7d,5.4,12.463738035001692,1.4108997064172095,40.0,29.0,10.0231763806416,1.26
044ba333,5.4,13.879731724872835,1.6116964734231178,43.0,34.0,11.182493960703471,1.22
044c2c8e,5.6,15.444646771097048,1.203396426255937,41.0,38.0,8.974182454814718,1.21
04535d5f,5.6,11.182493960703471,1.0750806076741224,38.0,39.0,8.974182454814718,1.33
0476d194,5.5,11.182493960703471,1.0750806076741224,39.0,39.0,8.025013499434122,1.34
047bf70b,5.4,12.463738035001692,1.3163669767810915,43.0,36.0,10.0231763806416,1.27
048c88e3,5.5,11.182493960703471,1.0959355144943643,43.0,32.0,7.166169912567652,1.19
0495348f,5.6,12.463738035001692,1.1597662537849152,40.0,31.0,8.025013499434122,1.21
04bb3650,5.4,21.19795128144164,2.490342957461841,47.0,29.0,11.182493960703471,1.12
04c82794,5.7,19.085536923187668,2.1899332761161845,41.0,38.0,17.17414536944306,1.12
04c9fcd3,5.4,23.532530197109352,2.5966397255692817,45.0,20.0,15.444646771097048,1.02
04f41d0e,5.4,23.532530197109352,2.3201169227365472,48.0,26.0,12.463738035001692,1.1
04f924ad,6.0,12.463738035001692,1.0339912586467506,31.0,48.0,11.182493960703471,1.38
051807a6,5.7,13.879731724872835,1.2479079866764715,40.0,35.0,10.0231763806416,1.2
053ff2c5,5.6,12.463738035001692,1.1597662537849152,40.0,35.0,8.025013499434122,1.17
05520b8e,5.7,8.974182454814718,0.8964808793049515,34.0,45.0,11.182493960703471,1.33
0557d48c,5.7,19.085536923187668,1.5599814183292713,40.0,28.0,12.463738035001692,1.28
055c5b7e,5.4,11.182493960703471,1.3163669767810915,38.0,39.0,10.0231763806416,1.27
05729ede,5.9,12.463738035001692,1.1382762204968184,35.0,46.0,11.182493960703471,1.35
05990a3a,,,,,,,
059a659c,5.7,13.879731724872835,1.3163669767810915,41.0,36.0,8.974182454814718,1.15
05b7ad85,5.8,13.879731724872835,1.2933187402641826,41.0,36.0,11.182493960703471,1.23
05cecf0d,5.7,17.17414536944306,1.203396426255937,38.0,35.0,11.182493960703471,1.29
05d01829,5.6,13.879731724872835,1.2933187402641826,41.0,28.0,11.182493960703471,1.28
05d0de52,5.5,12.463738035001692,1.1170000166126748,43.0,38.0,8.025013499434122,1.19
05db24b2,5.6,12.463738035001692,1.0750806076741224,41.0,39.0,8.974182454814718,1.22
05f34851,5.7,8.974182454814718,0.9542373206359396,36.0,37.0,8.974182454814718,1.29
061b3d8f,5.6,17.17414536944306,1.857651118063164,41.0,34.0,12.463738035001692,1.15
061fa6e8,,,,,,,
062fa096,5.6,11.182493960703471,1.1170000166126748,38.0,45.0,11.182493960703471,1.37
0634a004,5.9,11.182493960703471,1.0544332106438876,37.0,42.0,11.182493960703471,1.27
063f3249,5.7,17.17414536944306,1.4351296512898744,44.0,32.0,10.0231763806416,1.2
064bd783,5.6,12.463738035001692,1.3869108535242765,32.0,42.0,13.879731724872835,1.16
06751cb2,5.5,11.182493960703471,1.1382762204968184,38.0,38.0,8.974182454814718,1.35
0676f636,5.8,17.17414536944306,1.534509177617855,40.0,35.0,15.444646771097048,1.16
068f5ccb,6.4,10.0231763806416,0.9347923344020316,28.0,52.0,10.0231763806416,1.31
06902ac1,5.7,12.463738035001692,1.2933187402641826,42.0,45.0,12.463738035001692,1.2
06b64299,5.5,12.463738035001692,1.1382762204968184,43.0,39.0,8.974182454814718,1.24
06b9493a,5.5,15.444646771097048,1.3396468519259908,47.0,38.0,10.0231763806416,1.22
06c76ba5,5.7,11.182493960703471,1.0750806076741224,37.0,38.0,10.0231763806416,1.31
06d1d4dc,6.0,11.182493960703471,1.3631606937057947,39.0,40.0,11.182493960703471,1.27
06f6d951,5.5,17.17414536944306,1.718281828459045,44.0,35.0,11.182493960703471,1.11
06fc78b2,5.7,13.879731724872835,1.225540928492468,32.0,43.0,11.182493960703471,1.32
0707faaf,,,,,,,
0714f0fd,5.5,13.879731724872835,1.181472265498201,45.0,36.0,8.974182454814718,1.25
0740b634,5.4,13.879731724872835,1.2704998375324057,42.0,29.0,8.025013499434122,1.22
0742d900,5.7,17.17414536944306,1.7456010150169163,39.0,32.0,12.463738035001692,1.26
07668f7e,5.5,11.182493960703471,0.9738777322304476,40.0,32.0,8.025013499434122,1.31
0772c3e7,5.6,21.19795128144164,2.034358394435676,44.0,29.0,12.463738035001692,1.14
07b20e20,5.9,10.0231763806416,0.8776105792643432,31.0,54.0,8.974182454814718,1.27
07b6c0f9,5.6,11.182493960703471,1.1170000166126748,41.0,38.0,8.974182454814718,1.3
07bb1e26,6.0,10.0231763806416,0.9542373206359396,29.0,54.0,10.0231763806416,1.28
07c94a7b,5.5,10.0231763806416,1.0137527074704766,40.0,40.0,8.974182454814718,1.36
07cb9415,5.6,13.879731724872835,1.4843225333848165,33.0,41.0,15.444646771097048,1.2
07db8a5c,5.8,15.444646771097048,1.203396426255937,38.0,44.0,10.0231763806416,1.31
081f1be8,5.7,15.444646771097048,1.585709659315846,39.0,33.0,10.0231763806416,1.19
08203d2a,5.4,19.085536923187668,2.0041660239464334,49.0,41.0,15.444646771097048,1.12
0843187e,5.8,13.879731724872835,1.2933187402641826,40.0,33.0,13.879731724872835,1.25
084ca245,5.5,11.182493960703471,1.0339912586467506,40.0,35.0,8.025013499434122,1.3
08586e0a,5.7,12.463738035001692,1.181472265498201,36.0,40.0,11.182493960703471,1.32
085e6171,5.4,17.17414536944306,1.585709659315846,42.0,35.0,12.463738035001692,1.18
0869ddd7,5.4,21.19795128144164,2.490342957461841,46.0,29.0,12.463738035001692,1.12
086bac6e,5.6,15.444646771097048,1.2933187402641826,38.0,39.0,11.182493960703471,1.3
087ec0bd,5.7,13.879731724872835,1.6379444593541526,44.0,34.0,11.182493960703471,1.19
087fd328,5.5,15.444646771097048,1.4351296512898744,38.0,37.0,12.463738035001692,1.21
087ff5ef,5.5,15.444646771097048,1.801065834699079,41.0,33.0,10.0231763806416,1.17
088256b1,6.0,15.444646771097048,1.225540928492468,36.0,40.0,13.879731724872835,1.32
088529ef,5.3,23.532530197109352,2.2543742028896707,45.0,31.0,12.463738035001692,1.15
08960c40,5.7,19.085536923187668,1.534509177617855,42.0,36.0,13.879731724872835,1.27
08a595dc,5.6,13.879731724872835,1.0750806076741224,42.0,38.0,10.0231763806416,1.28
