site_id,soil_ph,soil_organic_carbon_gkg,soil_nitrogen_gkg,soil_clay_pct,soil_sand_pct,soil_cec_cmolkg,soil_bulk_density_gcm3
5551,5.5,8.974182454814718,0.9347923344020317,40,36,8.025013499434122,1.31
5552,5.5,10.023176380641601,0.9542373206359396,40,36,8.974182454814718,1.28
5553,5.5,11.182493960703473,1.0137527074704766,39,43,8.974182454814718,1.28
5554,5.6,10.023176380641601,0.9738777322304477,38,43,8.025013499434122,1.26
5555,5.6,12.463738035001692,1.0137527074704766,38,40,8.025013499434122,1.26
5556,5.6,10.023176380641601,0.9937155332430823,39,40,8.025013499434122,1.27
5557,5.4,11.182493960703473,1.0339912586467506,40,36,8.025013499434122,1.28
5558,5.6,11.182493960703473,0.9738777322304477,42,33,8.025013499434122,1.28
5559,5.5,10.023176380641601,0.9155408290138962,40,34,8.025013499434122,1.3
5560,5.5,10.023176380641601,0.9937155332430823,41,43,8.025013499434122,1.28
5561,5.7,10.023176380641601,0.9937155332430823,34,41,8.025013499434122,1.29
5562,5.6,11.182493960703473,1.0339912586467506,42,41,8.974182454814718,1.23
5563,5.7,11.182493960703473,1.0544332106438876,40,35,8.974182454814718,1.25
5564,5.6,12.463738035001692,1.0544332106438876,39,34,8.025013499434122,1.24
5565,5.7,11.182493960703473,0.9937155332430823,41,31,8.974182454814718,1.24
5566,5.7,11.182493960703473,0.9738777322304477,40,43,8.025013499434122,1.21
5567,5.7,12.463738035001692,1.0544332106438876,41,41,8.974182454814718,1.24
5568,5.8,11.182493960703473,0.9347923344020317,34,44,8.974182454814718,1.28
5569,5.7,12.463738035001692,1.0137527074704766,40,40,8.974182454814718,1.24
5570,5.7,12.463738035001692,0.9738777322304477,40,37,8.974182454814718,1.26
5571,5.6,12.463738035001692,1.1170000166126748,42,33,8.025013499434122,1.24
5572,5.6,12.463738035001692,1.0544332106438876,39,36,8.025013499434122,1.25
5573,5.6,11.182493960703473,1.0339912586467506,41,44,8.974182454814718,1.24
5574,5.8,11.182493960703473,0.9937155332430823,36,42,8.974182454814718,1.3
5575,5.6,12.463738035001692,1.0544332106438876,39,37,8.974182454814718,1.24
5576,5.7,10.023176380641601,1.0750806076741224,40,34,8.974182454814718,1.26
5577,5.7,11.182493960703473,1.0339912586467506,41,38,8.025013499434122,1.25
5578,5.5,13.879731724872837,1.3631606937057947,43,29,10.023176380641601,1.18
5579,5.6,19.085536923187668,2.0648542032930024,43,35,12.463738035001692,1.14
5580,5.5,13.879731724872837,1.3631606937057947,44,29,8.974182454814718,1.13
5581,5.5,13.879731724872837,1.3631606937057947,44,29,8.974182454814718,1.13
5582,5.6,21.197951281441636,1.9742740725630656,40,34,12.463738035001692,1.13
5583,5.5,13.879731724872837,1.181472265498201,45,32,8.974182454814718,1.18
5584,5.6,17.17414536944306,1.6644562419294169,45,37,13.879731724872837,1.14
5585,5.5,12.463738035001692,1.3396468519259908,38,36,10.023176380641601,1.14
5586,5.4,13.879731724872837,1.2933187402641826,43,33,10.023176380641601,1.17
5587,5.6,15.444646771097048,1.2933187402641826,44,29,8.974182454814718,1.19
5588,5.5,12.463738035001692,1.2933187402641826,43,32,10.023176380641601,1.15
5589,5.5,15.444646771097048,1.4108997064172097,44,35,12.463738035001692,1.12
5590,5.5,13.879731724872837,1.2933187402641826,42,33,10.023176380641601,1.13
5591,5.5,13.879731724872837,1.3396468519259908,42,34,8.974182454814718,1.18
5592,5.5,15.444646771097048,1.4351296512898744,44,27,12.463738035001692,1.18
5593,5.7,15.444646771097048,1.3163669767810915,42,38,12.463738035001692,1.13
5594,5.5,10.023176380641601,0.9542373206359396,40,31,8.974182454814718,1.28
5595,5.5,10.023176380641601,0.9542373206359396,41,42,8.974182454814718,1.29
5596,5.5,10.023176380641601,0.9738777322304477,39,28,8.025013499434122,1.29
5597,5.5,10.023176380641601,0.9937155332430823,42,29,8.025013499434122,1.29
5598,5.7,10.023176380641601,0.9937155332430823,38,40,8.025013499434122,1.3
5599,5.6,8.974182454814718,0.9738777322304477,37,35,8.974182454814718,1.29
5600,5.5,10.023176380641601,0.9738777322304477,35,40,8.025013499434122,1.3
5601,5.6,8.974182454814718,0.9937155332430823,31,47,8.025013499434122,1.31
5602,5.8,13.879731724872837,1.1170000166126748,31,41,7.166169912567652,1.23
5603,5.5,8.974182454814718,0.9347923344020317,27,54,8.025013499434122,1.32
5604,5.7,17.17414536944306,1.6644562419294169,43,36,12.463738035001692,1.15
5605,5.7,15.444646771097048,1.691234472349262,45,37,12.463738035001692,1.15
5606,5.5,12.463738035001692,1.2255409284924679,42,40,8.974182454814718,1.14
5607,5.5,13.879731724872837,1.2933187402641826,42,36,8.974182454814718,1.17
5608,5.7,23.532530197109352,2.2543742028896707,38,36,13.879731724872837,1.05
5609,5.8,21.197951281441636,2.0648542032930024,41,36,15.444646771097048,1.09
5610,5.6,15.444646771097048,1.2704998375324057,41,35,8.974182454814718,1.17
5611,5.7,15.444646771097048,1.3631606937057947,41,33,10.023176380641601,1.21
5612,5.6,17.17414536944306,1.5599814183292713,42,30,11.182493960703473,1.21
5613,5.7,15.444646771097048,1.3869108535242765,44,36,11.182493960703473,1.15
5614,5.6,15.444646771097048,1.4351296512898744,41,30,10.023176380641601,1.22
5615,5.6,11.182493960703473,1.0959355144943643,37,42,7.166169912567652,1.21
5616,5.7,15.444646771097048,1.5599814183292713,43,37,11.182493960703473,1.21
5617,5.7,12.463738035001692,1.1382762204968184,39,36,8.974182454814718,1.2
5618,5.7,15.444646771097048,1.4108997064172097,38,35,10.023176380641601,1.2
5619,5.7,13.879731724872837,1.3163669767810915,43,30,8.974182454814718,1.2
5620,5.7,15.444646771097048,1.3396468519259908,41,37,10.023176380641601,1.16
5621,5.8,8.974182454814718,0.8964808793049515,39,39,8.974182454814718,1.31
5622,5.9,13.879731724872837,1.2704998375324057,37,39,8.025013499434122,1.2
5623,5.9,13.879731724872837,1.2704998375324057,37,39,8.025013499434122,1.2
5624,5.8,17.17414536944306,1.509290389936298,41,39,13.879731724872837,1.15
5625,5.5,10.023176380641601,0.9155408290138962,40,33,8.025013499434122,1.3
5626,5.8,15.444646771097048,1.3163669767810915,41,37,8.974182454814718,1.17
5627,5.5,11.182493960703473,1.1382762204968184,41,33,8.974182454814718,1.26
5628,5.5,11.182493960703473,1.0750806076741224,39,35,8.974182454814718,1.24
5629,5.6,11.182493960703473,1.0750806076741224,38,33,8.974182454814718,1.25
5630,5.6,11.182493960703473,1.1597662537849152,40,35,8.974182454814718,1.2
5631,5.5,13.879731724872837,1.585709659315846,45,34,12.463738035001692,1.21
5632,5.6,15.444646771097048,1.691234472349262,45,25,13.879731724872837,1.21
5633,5.5,17.17414536944306,1.8292170143515598,48,31,13.879731724872837,1.19
5634,5.5,15.444646771097048,1.4843225333848165,45,35,11.182493960703473,1.18
5635,5.7,17.17414536944306,1.534509177617855,42,38,11.182493960703473,1.23
5636,5.4,15.444646771097048,1.691234472349262,45,32,12.463738035001692,1.21
5637,5.6,13.879731724872837,1.4108997064172097,42,34,11.182493960703473,1.21
5638,5.6,15.444646771097048,1.7456010150169163,49,33,13.879731724872837,1.21
5639,5.5,15.444646771097048,1.691234472349262,47,29,12.463738035001692,1.2
5640,5.6,15.444646771097048,1.6116964734231178,44,29,13.879731724872837,1.21
5641,5.6,15.444646771097048,1.691234472349262,45,25,13.879731724872837,1.21
5642,5.5,15.444646771097048,1.3396468519259908,45,32,11.182493960703473,1.14
5643,5.5,13.879731724872837,1.509290389936298,46,37,12.463738035001692,1.23
5644,5.6,15.444646771097048,1.509290389936298,42,39,11.182493960703473,1.21
5645,5.5,13.879731724872837,1.3869108535242765,44,36,11.182493960703473,1.19
5646,5.4,21.197951281441636,2.1267683651861553,47,33,12.463738035001692,1.14
5647,5.4,21.197951281441636,2.1267683651861553,47,33,12.463738035001692,1.14
5648,5.5,17.17414536944306,1.9153794999769969,47,31,12.463738035001692,1.13
5649,5.5,19.085536923187668,1.9153794999769969,45,30,13.879731724872837,1.14
5650,5.4,17.17414536944306,1.9446795510655241,43,28,11.182493960703473,1.13
5651,5.4,17.17414536944306,2.0648542032930024,46,29,12.463738035001692,1.12
5652,5.5,17.17414536944306,1.7731947639642978,47,38,11.182493960703473,1.14
5653,5.4,17.17414536944306,1.801065834699079,46,27,12.463738035001692,1.17
5654,5.6,17.17414536944306,1.8576511180631639,44,33,12.463738035001692,1.21
5655,5.6,13.879731724872837,1.509290389936298,45,33,11.182493960703473,1.21
5656,5.5,19.085536923187668,1.8576511180631639,43,33,12.463738035001692,1.14
5657,5.6,15.444646771097048,1.691234472349262,41,38,11.182493960703473,1.22
5658,5.8,13.879731724872837,1.6644562419294169,33,37,13.879731724872837,1.22
5659,5.7,13.879731724872837,1.6116964734231178,34,38,15.444646771097048,1.18
5660,5.6,13.879731724872837,1.509290389936298,45,33,11.182493960703473,1.21
5661,5.4,17.17414536944306,1.8576511180631639,44,33,12.463738035001692,1.15
5662,5.3,19.085536923187668,2.4212295362896734,42,37,15.444646771097048,1.09
5663,5.4,19.085536923187668,1.9153794999769969,48,33,13.879731724872837,1.13
5664,5.3,19.085536923187668,2.1899332761161845,49,28,11.182493960703473,1.15
5665,5.4,21.197951281441636,2.287081207383118,47,33,12.463738035001692,1.16
5666,5.3,19.085536923187668,2.095656500124711,49,33,13.879731724872837,1.12
5667,5.4,17.17414536944306,2.158192909689767,46,33,12.463738035001692,1.13
5668,5.4,19.085536923187668,2.034358394435676,48,29,13.879731724872837,1.13
5669,5.4,19.085536923187668,2.2543742028896707,48,28,12.463738035001692,1.16
5670,5.4,19.085536923187668,2.2219926385284996,48,26,12.463738035001692,1.18
5671,5.4,19.085536923187668,2.2219926385284996,48,29,12.463738035001692,1.16
5672,5.4,19.085536923187668,2.4903429574618414,46,29,12.463738035001692,1.14
5673,5.8,15.444646771097048,1.509290389936298,27,41,11.182493960703473,1.24
5674,5.4,23.532530197109352,2.5608525623555205,45,27,12.463738035001692,1.12
5675,5.6,12.463738035001692,1.509290389936298,40,38,12.463738035001692,1.18
5676,5.5,23.532530197109352,2.3534846525490236,48,28,11.182493960703473,1.13
5677,5.3,23.532530197109352,2.3871877336213347,49,25,12.463738035001692,1.13
5678,5.4,21.197951281441636,2.4212295362896734,43,29,12.463738035001692,1.12
5679,5.5,17.17414536944306,2.0041660239464334,47,31,13.879731724872837,1.13
5680,5.4,21.197951281441636,2.5608525623555205,45,25,12.463738035001692,1.15
5681,5.4,23.532530197109352,2.6327865557528094,43,29,15.444646771097048,1.14
5682,5.4,19.085536923187668,2.3871877336213347,47,31,12.463738035001692,1.14
5683,5.4,23.532530197109352,2.4556134647626755,48,27,13.879731724872837,1.14
5684,5.8,15.444646771097048,1.509290389936298,27,41,11.182493960703473,1.24
5685,5.3,21.197951281441636,2.781043387568781,48,22,13.879731724872837,1.15
5686,5.8,13.879731724872837,1.6644562419294169,34,38,13.879731724872837,1.19
5687,5.4,19.085536923187668,2.1267683651861553,47,27,12.463738035001692,1.12
5688,5.2,23.532530197109352,2.4212295362896734,45,30,13.879731724872837,1.11
5689,5.4,19.085536923187668,2.1899332761161845,43,35,12.463738035001692,1.14
5690,5.4,19.085536923187668,2.1899332761161845,47,28,13.879731724872837,1.16
5691,5.4,19.085536923187668,2.1899332761161845,47,29,12.463738035001692,1.14
5692,5.4,19.085536923187668,2.1899332761161845,49,24,13.879731724872837,1.15
5693,5.3,19.085536923187668,2.1899332761161845,47,31,13.879731724872837,1.1
5694,5.5,17.17414536944306,1.718281828459045,44,38,12.463738035001692,1.12
5695,5.4,17.17414536944306,1.9742740725630656,47,31,13.879731724872837,1.16
5696,5.4,19.085536923187668,2.1267683651861553,49,28,12.463738035001692,1.14
5697,5.4,21.197951281441636,2.3201169227365472,48,32,13.879731724872837,1.11
5698,5.3,19.085536923187668,2.158192909689767,48,31,12.463738035001692,1.11
